,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
0,ILA0011,紅1,ILA001101,紅1,0,ILA307526,外澳,1,1,24.870935,121.839346,14,1,0
1,ILA0011,紅1,ILA001101,紅1,0,ILA302579,烏石港轉運站,0,2,24.868788,121.834961,16,2,0
2,ILA0011,紅1,ILA001101,紅1,0,ILA299277,武營橋,0,3,24.866082,121.829359,0,0,0
3,ILA0011,紅1,ILA001101,紅1,0,ILA299279,頭城國小,0,4,24.862591,121.828466,0,0,0
4,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,10,2,0
5,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,17,1,0
6,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,18,3,0
7,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,20,1,0
8,ILA0011,紅1,ILA001101,紅1,0,ILA297127,青雲路,0,6,24.85548,121.82345,12,1,0
9,ILA0011,紅1,ILA001101,紅1,0,ILA290870,頭城家商,0,7,24.84994,121.81567,18,1,0
10,ILA0011,紅1,ILA001101,紅1,0,ILA290870,頭城家商,0,7,24.84994,121.81567,19,1,0
11,ILA0011,紅1,ILA001101,紅1,0,ILA299023,實踐農村,0,8,24.84738,121.81239,0,0,0
12,ILA0011,紅1,ILA001101,紅1,0,ILA299025,頂埔,0,9,24.84566,121.80809,0,0,0
13,ILA0011,紅1,ILA001101,紅1,0,ILA299027,二城國小,0,10,24.8442,121.80525,10,1,0
14,ILA0011,紅1,ILA001101,紅1,0,ILA299029,中崙,0,11,24.841843,121.80191,0,0,0
15,ILA0011,紅1,ILA001101,紅1,0,ILA297129,二城,0,12,24.83872,121.79295,0,0,0
16,ILA0011,紅1,ILA001101,紅1,0,ILA297131,頭城交流道,0,13,24.83762,121.78856,0,0,0
17,ILA0011,紅1,ILA001101,紅1,0,ILA299031,白雲路,0,14,24.837055,121.786853,0,0,0
18,ILA0011,紅1,ILA001101,紅1,0,ILA299052,白石腳,0,15,24.83572,121.78286,0,0,0
19,ILA0011,紅1,ILA001101,紅1,0,ILA299033,玉石村,0,16,24.8338,121.78017,0,0,0
20,ILA0011,紅1,ILA001101,紅1,0,ILA297133,礁溪轉運站,0,17,24.830982,121.777881,10,1,1
21,ILA0011,紅1,ILA001101,紅1,0,ILA297133,礁溪轉運站,0,17,24.830982,121.777881,20,1,0
22,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,11,2,0
23,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,12,1,0
24,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,13,2,0
25,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,11,2,0
26,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,16,1,0
27,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,20,1,0
28,ILA0011,紅1,ILA001101,紅1,0,ILA297142,礁溪國小,0,20,24.821,121.76945,12,1,0
29,ILA0011,紅1,ILA001101,紅1,0,ILA297142,礁溪國小,0,20,24.821,121.76945,17,1,0
30,ILA0011,紅1,ILA001101,紅1,0,ILA297144,協天廟,0,21,24.818766,121.768666,8,1,0
31,ILA0011,紅1,ILA001101,紅1,0,ILA297146,礁溪國中,0,22,24.81678,121.76789,0,0,0
32,ILA0011,紅1,ILA001101,紅1,0,ILA297148,十六結,0,23,24.80964,121.76701,0,0,0
33,ILA0011,紅1,ILA001101,紅1,0,ILA297152,三民村,0,24,24.80507,121.76549,0,0,0
34,ILA0011,紅1,ILA001101,紅1,0,ILA297154,番割田,0,25,24.80182,121.76482,13,1,0
35,ILA0011,紅1,ILA001101,紅1,0,ILA297154,番割田,0,25,24.80182,121.76482,17,4,0
36,ILA0011,紅1,ILA001101,紅1,0,ILA297156,白鵝村,0,26,24.79907,121.76418,0,0,0
37,ILA0011,紅1,ILA001101,紅1,0,ILA297158,公埔,0,27,24.793252,121.76267,0,0,0
38,ILA0011,紅1,ILA001101,紅1,0,ILA297160,玉光村,0,28,24.79112,121.76205,0,0,0
39,ILA0011,紅1,ILA001101,紅1,0,ILA297162,四城,0,29,24.787387,121.761526,0,0,0
40,ILA0011,紅1,ILA001101,紅1,0,ILA297164,一結,0,30,24.78267,121.76041,0,0,0
41,ILA0011,紅1,ILA001101,紅1,0,ILA297166,茭白里,0,31,24.77992,121.75957,0,0,0
42,ILA0011,紅1,ILA001101,紅1,0,ILA297169,台富,0,32,24.7766,121.75861,0,0,0
43,ILA0011,紅1,ILA001101,紅1,0,ILA297171,吳沙路,0,33,24.77363,121.75774,0,0,0
44,ILA0011,紅1,ILA001101,紅1,0,ILA297181,新生里,0,34,24.768283,121.756125,0,0,0
45,ILA0011,紅1,ILA001101,紅1,0,ILA299053,河濱公園,0,35,24.76417,121.75467,0,0,0
46,ILA0011,紅1,ILA001101,紅1,0,ILA303090,蘭陽別院(念佛會),0,36,24.762132,121.753852,17,1,0
47,ILA0011,紅1,ILA001101,紅1,0,ILA297186,北門,0,37,24.759673,121.75302,0,0,0
48,ILA0011,紅1,ILA001101,紅1,0,ILA297188,第一銀行,0,38,24.757266,121.752503,0,0,0
49,ILA0011,紅1,ILA001101,紅1,0,ILA297190,宜蘭中山公園,0,39,24.75433,121.75378,0,0,0
50,ILA0011,紅1,ILA001101,紅1,0,ILA297192,宜蘭火車站(光復路),0,40,24.754995,121.756177,0,0,0
51,ILA0011,紅1,ILA001101,紅1,0,ILA297194,幸福轉運站,0,41,24.75169,121.7563,0,0,0
52,ILA0011,紅1,ILA001101,紅1,0,ILA297023,宜蘭轉運站,-1,42,24.751763,121.75972,0,0,0
53,ILA0011,紅1,ILA001102,紅1,1,ILA297035,宜蘭轉運站,1,1,24.751763,121.75972,0,0,0
54,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,12,1,0
55,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,14,8,0
56,ILA0011,紅1,ILA001102,紅1,1,ILA297193,宜蘭火車站(光復路),0,3,24.75501,121.75684,0,0,0
57,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,15,1,0
58,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,18,2,0
59,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,19,1,0
60,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,14,3,0
61,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,16,2,0
62,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,19,2,0
63,ILA0011,紅1,ILA001102,紅1,1,ILA297187,北門,0,6,24.759172,121.753009,11,1,0
64,ILA0011,紅1,ILA001102,紅1,1,ILA303091,蘭陽別院(念佛會),0,7,24.762247,121.754012,7,1,0
65,ILA0011,紅1,ILA001102,紅1,1,ILA303091,蘭陽別院(念佛會),0,7,24.762247,121.754012,10,1,0
66,ILA0011,紅1,ILA001102,紅1,1,ILA299054,河濱公園,0,8,24.764166,121.754738,19,1,0
67,ILA0011,紅1,ILA001102,紅1,1,ILA297182,新生里,0,9,24.768015,121.756123,0,0,0
68,ILA0011,紅1,ILA001102,紅1,1,ILA297172,吳沙路,0,10,24.77354,121.7579,0,0,0
69,ILA0011,紅1,ILA001102,紅1,1,ILA297170,台富,0,11,24.776343,121.758829,0,0,0
70,ILA0011,紅1,ILA001102,紅1,1,ILA297168,茭白里,0,12,24.77965,121.75975,0,0,0
71,ILA0011,紅1,ILA001102,紅1,1,ILA297165,一結,0,13,24.78239,121.76058,0,0,0
72,ILA0011,紅1,ILA001102,紅1,1,ILA297163,四城,0,14,24.78716,121.76176,0,0,0
73,ILA0011,紅1,ILA001102,紅1,1,ILA297161,玉光村,0,15,24.790796,121.762238,0,0,0
74,ILA0011,紅1,ILA001102,紅1,1,ILA297159,公埔,0,16,24.79321,121.76293,0,0,0
75,ILA0011,紅1,ILA001102,紅1,1,ILA297157,白鵝村,0,17,24.799125,121.76444,10,1,0
76,ILA0011,紅1,ILA001102,紅1,1,ILA297155,番割田,0,18,24.80172,121.76508,0,0,0
77,ILA0011,紅1,ILA001102,紅1,1,ILA297153,三民村,0,19,24.80523,121.7658,0,0,0
78,ILA0011,紅1,ILA001102,紅1,1,ILA297149,十六結,0,20,24.809559,121.767233,9,2,0
79,ILA0011,紅1,ILA001102,紅1,1,ILA297147,礁溪國中,0,21,24.817395,121.768304,0,0,0
80,ILA0011,紅1,ILA001102,紅1,1,ILA297145,協天廟,0,22,24.818813,121.76881,11,2,0
81,ILA0011,紅1,ILA001102,紅1,1,ILA297145,協天廟,0,22,24.818813,121.76881,12,1,1
82,ILA0011,紅1,ILA001102,紅1,1,ILA297145,協天廟,0,22,24.818813,121.76881,13,2,0
