,StopUID,StopNameZh_tw,StopNameEn,PositionLat,PositionLon,GeoHash,Bearing,上車人數,下車人數
0,ILA108472,台富,Taifu,24.776343,121.758829,wsqsfwqhd,N,3,5
1,ILA108474,一結,Yijie,24.78239,121.76058,wsqsfxrrg,N,3,16
2,ILA108477,公埔,Gongpu,24.79321,121.76293,wsqt4c3nc,N,1,2
3,ILA108479,番割田,Fangetian,24.80172,121.76508,wsqt4g48k,N,6,7
4,ILA108489,白石腳,Baishijiao,24.83551,121.78285,wsqt71pt6,E,1,21
5,ILA115304,吳沙路,Wusha Rd.,24.77354,121.7579,wsqsftvkk,N,4,1
6,ILA115309,玉光村,Yuguang Village,24.790796,121.762238,wsqt4c08c,N,1,2
7,ILA115315,礁溪國中,Jiaoxi Junior High School,24.81665,121.76805,wsqt4vsz3,N,4,26
8,ILA115321,玉石村,Yushi Village,24.83353,121.78027,wsqt70v9v,N,0,14
9,ILA115327,二城國小,Ercheng Elementary School,24.84419,121.80561,wsqt7f8pu,N,0,5
10,ILA115329,實踐農村,Shijian Rural Village,24.84721,121.81258,wsqt7gm1q,E,3,20
11,ILA115465,頭城家商,Tou Cheng Domesti-Affair And Commercial Senior Hig,24.84991,121.81566,wsqt7gz3n,W,229,7
12,ILA115466,實踐農村,Shijian Rural Village,24.84731,121.81239,wsqt7gm44,W,13,5
13,ILA115468,二城國小,Ercheng Elementary School,24.84409,121.80516,wsqt7dxz3,W,3,0
14,ILA115473,白石腳,Baishijiao,24.83572,121.78286,wsqt71pwd,W,27,5
15,ILA115474,玉石村,Yushi Village,24.83371,121.78013,wsqt70vdf,S,11,4
16,ILA115480,礁溪國中,Jiaoxi Junior High School,24.81678,121.76789,wsqt4vu8j,S,8,2
17,ILA115481,十六結,Shiliujie,24.80964,121.76701,wsqt4ukn8,S,17,11
18,ILA115483,番割田,Fangetian,24.80182,121.76482,wsqt4g43j,S,11,9
19,ILA115484,白鵝村,Baie Village,24.79907,121.76418,wsqt4f9cp,S,9,26
20,ILA115485,公埔,Gongpu,24.79353,121.76274,wsqt4c8bv,S,0,2
21,ILA115486,玉光村,Yuguang Village,24.79112,121.76205,wsqt4c06t,S,0,13
22,ILA115488,一結,Yijie,24.78267,121.76041,wsqsfxx1x,E,13,6
23,ILA115490,台富,Taifu,24.7766,121.75861,wsqsfwmyj,S,5,3
24,ILA115491,吳沙路,Wusha Rd.,24.77363,121.75774,wsqsftvkb,S,2,8
25,ILA115493,河濱公園,Riverside Park,24.764084,121.754588,wsqsfs4vp,S,1,10
26,ILA115495,北門,Beimen,24.759673,121.75302,wsqsfe3gd,S,38,69
27,ILA115497,頭城站,Toucheng Station,24.85858,121.82603,wsqtkjr58,E,7,102
28,ILA115711,泰山路,Taishan Rd.,24.75461,121.7478,wsqsf6qn1,W,2,2
29,ILA115712,負廓里,Fuguo Village,24.75431,121.7442,wsqsf67km,S,0,1
30,ILA115714,七結,Qijie,24.74938,121.73407,wsqsf1kp9,W,10,15
31,ILA115715,員山機堡,Yuanshanjibao,24.74653,121.72857,wsqsf0bnc,W,2,12
32,ILA115717,員山鄉公所(員山公園),Yuanshan Township Office,24.74313,121.72327,wsqscbk5j,W,0,0
33,ILA115718,佛祖廟,Fozu Temple,24.74015,121.72141,wsqs9zfcf,S,0,0
34,ILA115719,尚德村,Shangde Village,24.73704,121.71861,wsqs9z0z9,S,0,0
35,ILA115724,成功路,Chenggong Rd.,24.71829,121.70171,wsqs97u6r,W,0,15
36,ILA115725,下深溝,Xiashengou,24.7162,121.69717,wsqs973nm,S,0,24
37,ILA115726,內城路,Neicheng Rd.,24.71517,121.69511,wsqs95r8m,S,0,0
38,ILA115727,蚊煙路,Wenyan Rd.,24.71381,121.69233,wsqs95j8k,W,0,0
39,ILA115730,上深溝,Shangshengou,24.7096,121.68554,wsqs940xy,W,0,0
40,ILA115731,河堤,Heti,24.70964,121.67594,wsqs8f38n,W,0,0
41,ILA115732,再連,Zailian,24.71236,121.67173,wsqs8dwxu,N,0,0
42,ILA115733,下湖口,Xiahukou,24.712792,121.667893,wsqs8dgf7,W,0,0
43,ILA115734,上再連,Shangzailian,24.7113,121.6655,wsqs8dd1g,S,0,0
44,ILA115735,玉雲宮,Yuyun Temple,24.70881,121.66324,wsqs8d07q,W,0,0
45,ILA115736,下粗溪口,Xiacuxikou,24.70674,121.65918,wsqs83tx0,N,0,0
46,ILA115737,化育,Huayu,24.7112299989903,121.652839956532,wsqs868ck,W,0,0
47,ILA115738,福德廟1,Fude Temple (1),24.70943,121.6496,wsqs84nwc,W,0,0
48,ILA115739,粗坑,Cukeng,24.707135,121.647501,wsqs81v12,S,0,0
49,ILA115740,粗坑路,Cukeng Rd.,24.70224,121.64852,wsqs80vsz,S,0,0
50,ILA115741,中華村,Zhonghua Village,24.69945,121.64305,wsqs803u8,W,0,0
51,ILA115742,冷水坑,Lengshuikeng,24.69573,121.63625,wsqkrzsz4,W,0,0
52,ILA115743,宜蘭職訓場,Yilan Vocational Training Chang,24.69129,121.63232,wsqkrycvn,W,0,0
53,ILA115744,頂粗坑,Dingcukeng,24.68688,121.62633,wsqkrwje6,W,0,0
54,ILA115745,長嶺路,Changling Rd.,24.68413,121.62285,wsqkrte53,W,0,0
55,ILA115746,大同鄉公所,Datong Township Office,24.67638,121.60976,wsqkrk1w2,S,0,0
56,ILA115747,檢查哨(九寮溪),Jiuliao River,24.67096,121.60423,wsqkr5jqz,W,0,0
57,ILA115748,玉蘭,Yulan,24.66519,121.59346,wsqkqfjth,W,0,0
