,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
2946,ILA0343,1791,ILA034301,1791,0,ILA307864,羅東轉運站,1,1,24.67818,121.775704,5,1,0
2965,ILA0343,1791,ILA034301,1791,0,ILA234929,電信局,0,3,24.67849,121.770501,5,1,0
3360,ILA0344,1793,ILA034401,1793,0,ILA235040,水源地,0,9,24.67118,121.75262,5,1,0
3361,ILA0344,1793,ILA034401,1793,0,ILA244469,廣興,0,10,24.6701846646589,121.749683161728,5,3,0
3368,ILA0344,1793,ILA034401,1793,0,ILA235046,農場,0,15,24.6702688050034,121.714735944692,5,1,0
4053,ILA0346,1795,ILA034601,1795,0,ILA307864,羅東轉運站,1,1,24.67818,121.775704,5,4,0
4058,ILA0346,1795,ILA034601,1795,0,ILA235388,羅東火車站,0,2,24.6780925341575,121.773328717681,5,2,0
4283,ILA0348,1797,ILA034801,1797,0,ILA234929,電信局,0,3,24.67849,121.770501,5,1,0
5034,ILA0622,1766,ILA062201,1766,0,ILA244888,南興里,0,2,24.58146,121.86741,5,7,0
5046,ILA0622,1766,ILA062201,1766,0,ILA268974,江夏路,0,3,24.58206,121.8652,5,10,0
6382,ILA0624,1792,ILA062402,1792,1,ILA116023,天送埤,1,1,24.66172,121.62181,5,9,0
7542,ILA0784,1790,ILA078401,1790,0,ILA234881,車路頭,0,17,24.794638,121.806145,5,3,0
7579,ILA0786,1786,ILA078601,1786,0,ILA303088,宜蘭火車站(光復路),0,3,24.755172,121.756306,5,5,0
9518,ILA0343,1791,ILA034301,1791,0,ILA234952,利澤簡,0,24,24.66644,121.82247,5,0,1
9637,ILA0343,1791,ILA034301,1791,0,ILA244886,南方澳,-1,53,24.580572,121.870334,5,0,1
9849,ILA0344,1793,ILA034401,1793,0,ILA115973,復興村,0,43,24.63208,121.60714,5,0,1
9853,ILA0344,1793,ILA034401,1793,0,ILA235144,清水湖,0,45,24.645098,121.59477,5,0,1
9854,ILA0344,1793,ILA034401,1793,0,ILA235147,牛鬥派出所,-1,48,24.64088,121.571515,5,0,3
10389,ILA0346,1795,ILA034601,1795,0,ILA244469,廣興,0,10,24.6701846646589,121.749683161728,5,0,5
10400,ILA0346,1795,ILA034601,1795,0,ILA235281,鼻頭橋,0,17,24.65044,121.72548,5,0,1
10590,ILA0348,1797,ILA034801,1797,0,ILA235422,榮總蘇澳分院,0,35,24.61361,121.85176,5,0,1
10975,ILA0622,1766,ILA062201,1766,0,ILA244890,進安宮,0,4,24.58407,121.8649,5,0,1
10979,ILA0622,1766,ILA062201,1766,0,ILA302879,蘇澳轉運站,0,6,24.595434,121.852642,5,0,1
10981,ILA0622,1766,ILA062201,1766,0,ILA297069,中山路,0,7,24.59614,121.85048,5,0,3
10994,ILA0622,1766,ILA062201,1766,0,ILA244938,蘇澳新站,0,14,24.608864,121.826854,5,0,1
11047,ILA0622,1766,ILA062201,1766,0,ILA307864,羅東轉運站,0,33,24.67818,121.775704,5,0,6
11055,ILA0622,1766,ILA062201,1766,0,ILA244693,聖母醫院,0,36,24.67107,121.77094,5,0,3
11119,ILA0622,1766,ILA062201,1766,0,ILA244764,蘭陽女中,0,54,24.74586,121.75553,5,0,1
11195,ILA0622,1766,ILA062201,1766,0,ILA271463,礁溪電池廠,0,79,24.82454,121.7709,5,0,1
11817,ILA0624,1792,ILA062402,1792,1,ILA280573,羅東夜市(中山公園),0,36,24.67644,121.76807,5,0,7
11837,ILA0624,1792,ILA062402,1792,1,ILA235033,羅東火車站,0,38,24.6778699996102,121.773319954303,5,0,2
12365,ILA0784,1790,ILA078401,1790,0,ILA234895,開蘭東路,0,30,24.85411,121.82297,5,0,2
12371,ILA0784,1790,ILA078401,1790,0,ILA280673,青雲路,0,31,24.85544,121.82359,5,0,1
12387,ILA0786,1786,ILA078601,1786,0,ILA234708,普門診所,0,6,24.748996,121.750169,5,0,5
