"旅次日期","旅次時段.Ex..12表示為12時00分至12時59分.","票證分類..N.IC..非電子票證..IC..電子票證.","電子票證卡種","持卡身分","搭乘路線代碼","搭乘路線名稱","附屬路線唯一代碼","附屬路線中文名稱","路線方向.0.去程.1.返程.","起站.站牌代碼","起站.站牌名稱","迄站.站牌代碼","迄站.站牌名稱","載客量","資料代表日期.yyyy.MM.dd."
"2023-01-09","9","IC","EasyCard","A","ILA0783","1785","ILA078301","1785","0","ILA271120","宜蘭轉運站","ILA115714","七結","1","2023-01-09"
"2023-01-09","8","IC","iPASS","C01","ILA0789","1789","ILA078902","1789","1","ILA234861","寶發新村","ILA303087","幸福轉運站","1","2023-01-09"
"2023-01-09","11","IC","iPASS","C01","ILA0112","112","ILA011201","112","0","ILA296902","大忠路","ILA291110","礁溪火車站","1","2023-01-09"
"2023-01-09","6","IC","EasyCard","B","ILA0623","1767","ILA0623A1","1767A","0","ILA244887","南方澳","ILA116799","蘇澳港","1","2023-01-09"
"2023-01-09","6","IC","iPASS","B","ILA0623","1767","ILA0623A1","1767A","0","ILA116802","加油站","ILA294093","羅東高中","3","2023-01-09"
"2023-01-09","13","IC","EasyCard","A","ILA0624","1792","ILA062401","1792","0","ILA235388","羅東火車站","ILA115967","三星一站","1","2023-01-09"
"2023-01-09","17","IC","iPASS","A","ILA0343","1791","ILA034301","1791","0","ILA235388","羅東火車站","ILA234958","成興村","1","2023-01-09"
"2023-01-09","17","IC","icash","A","ILA0624","1792","ILA062402","1792","1","ILA116028","大埔","ILA235089","全家福","1","2023-01-09"
"2023-01-09","16","IC","iPASS","B","ILA0349","1798","ILA034901","1798","0","ILA235040","水源地","ILA235505","智腦","1","2023-01-09"
"2023-01-09","17","IC","EasyCard","B","ILA0788","1788","ILA078801","1788","0","ILA234746","宜蘭教會","ILA247592","公館","1","2023-01-09"
"2023-01-09","17","IC","iPASS","A","ILA0112","112","ILA011201","112","0","ILA297138","湯圍溝","ILA291106","仁愛路","1","2023-01-09"
"2023-01-09","9","IC","iPASS","C01","ILA0343","1791","ILA034301","1791","0","ILA244842","湧泉","ILA244874","進安宮","1","2023-01-09"
"2023-01-09","14","IC","iPASS","C01","ILA0345","1794","ILA034501","1794","0","ILA234929","電信局","ILA235208","大洲","1","2023-01-09"
"2023-01-09","7","IC","iPASS","B","ILA0336","學53","ILA033601","學53","0","ILA301725","五結農會","ILA301729","蘭陽女中","5","2023-01-09"
"2023-01-09","8","IC","EasyCard","C01","ILA0622","1766","ILA062201","1766","0","ILA244426","下香和","ILA307864","羅東轉運站","1","2023-01-09"
"2023-01-09","12","IC","iPASS","C01","ILA0624","1792","ILA062402","1792","1","ILA235080","月眉村","ILA235032","電信局","1","2023-01-09"
"2023-01-09","6","IC","EasyCard","C02","ILA0622","1766","ILA062201","1766","0","ILA297069","中山路","ILA271463","礁溪電池廠","1","2023-01-09"
"2023-01-09","18","IC","EasyCard","A","ILA0783","1785","ILA078302","1785","1","ILA115784","員山機堡","ILA247488","宜蘭轉運站","1","2023-01-09"
"2023-01-09","6","IC","iPASS","A","ILA0624","1792","ILA062401","1792","0","ILA307864","羅東轉運站","ILA115965","大埔","1","2023-01-09"
"2023-01-09","8","IC","EasyCard","B","ILA0622","1766","ILA062202","1766","1","ILA307864","羅東轉運站","ILA244823","下香和","1","2023-01-09"
"2023-01-09","16","IC","EasyCard","C01","ILA0622","1766","ILA062201","1766","0","ILA244887","南方澳","ILA297069","中山路","1","2023-01-09"
"2023-01-09","11","IC","EasyCard","C01","ILA0622","1766","ILA062201","1766","0","ILA266471","宜蘭中山公園","ILA302784","礁溪轉運站","1","2023-01-09"
"2023-01-09","7","IC","EasyCard","A","ILA0333","學50","ILA033301","學50","0","ILA297127","青雲路","ILA301848","宜蘭高中","1","2023-01-09"
"2023-01-09","17","IC","EasyCard","A","ILA0622","1766","ILA062202","1766","1","ILA115465","頭城家商","ILA293533","礁溪湯圍溝","1","2023-01-09"
