StopUID,StopID,AuthorityID,StopNameZh_tw,StopNameEn,PositionLat,PositionLon,GeoHash,StopAddress,Bearing,StationID,StationGroupID,StopDescription,City,CityCode,LocationCityCode,LocationCity,LocationTown,LocationTownCode
"ILA108472","108472","021","台富","Taifu",24.776343,121.758829,"wsqsfwqhd","宜蘭縣宜蘭市中山路五段348號","N","19404","260－002",,"YilanCounty","ILA","ILA",,,
"ILA108474","108474","021","一結","Yijie",24.78239,121.76058,"wsqsfxrrg","宜蘭縣宜蘭市中山路五段176號","N","31232","260－005",,"YilanCounty","ILA","ILA",,,
"ILA108477","108477","021","公埔","Gongpu",24.79321,121.76293,"wsqt4c3nc","宜蘭縣礁溪鄉礁溪路一段333號對面","N","32043","262－011",,"YilanCounty","ILA","ILA",,,
"ILA108479","108479","021","番割田","Fangetian",24.80172,121.76508,"wsqt4g48k","宜蘭縣礁溪鄉割田路42之6號","N","31773","262－001",,"YilanCounty","ILA","ILA",,,
"ILA108489","108489","021","白石腳","Baishijiao",24.83551,121.78285,"wsqt71pt6","宜蘭縣礁溪鄉礁溪路七段3號","E","31515","262－006",,"YilanCounty","ILA","ILA",,,
"ILA115304","115304","021","吳沙路","Wusha Rd.",24.77354,121.7579,"wsqsftvkk","宜蘭縣宜蘭市中山路五段352號","N","111340","260－026",,"YilanCounty","ILA","ILA",,,
"ILA115309","115309","021","玉光村","Yuguang Village",24.790796,121.762238,"wsqt4c08c","宜蘭縣礁溪鄉礁溪路一段265號對面","N","32049","262－009",,"YilanCounty","ILA","ILA",,,
"ILA115315","115315","021","礁溪國中","Jiaoxi Junior High School",24.81665,121.76805,"wsqt4vsz3","宜蘭縣礁溪鄉礁溪路一段36號","N","32464","262－010",,"YilanCounty","ILA","ILA",,,
"ILA115321","115321","021","玉石村","Yushi Village",24.83353,121.78027,"wsqt70v9v","宜蘭縣礁溪鄉礁溪路六段162號","N","31565","262－007",,"YilanCounty","ILA","ILA",,,
"ILA115327","115327","021","二城國小","Ercheng Elementary School",24.84419,121.80561,"wsqt7f8pu","宜蘭縣頭城鎮青雲路二段221號對面","N","15053","261－012",,"YilanCounty","ILA","ILA",,,
"ILA115329","115329","021","實踐農村","Shijian Rural Village",24.84721,121.81258,"wsqt7gm1q","宜蘭縣頭城鎮青雲路二段600號","E","28938","261－011",,"YilanCounty","ILA","ILA",,,
"ILA115465","115465","021","頭城家商","Tou Cheng Domesti-Affair And Commercial Senior Hig",24.84991,121.81566,"wsqt7gz3n","宜蘭縣頭城鎮青雲路二段723號","W","30065","261－005",,"YilanCounty","ILA","ILA",,,
"ILA115466","115466","021","實踐農村","Shijian Rural Village",24.84731,121.81239,"wsqt7gm44","宜蘭縣頭城鎮青雲路二段600號對面","W","28939","261－011",,"YilanCounty","ILA","ILA",,,
"ILA115468","115468","021","二城國小","Ercheng Elementary School",24.84409,121.80516,"wsqt7dxz3","宜蘭縣頭城鎮青雲路二段221號","W","15054","261－012",,"YilanCounty","ILA","ILA",,,
"ILA115473","115473","021","白石腳","Baishijiao",24.83572,121.78286,"wsqt71pwd","宜蘭縣礁溪鄉礁溪路七段3號對面","W","32163","262－006",,"YilanCounty","ILA","ILA",,,
"ILA115474","115474","021","玉石村","Yushi Village",24.83371,121.78013,"wsqt70vdf","宜蘭縣礁溪鄉礁溪路六段162號對面","S","118056","262－007",,"YilanCounty","ILA","ILA",,,
"ILA115480","115480","021","礁溪國中","Jiaoxi Junior High School",24.81678,121.76789,"wsqt4vu8j","宜蘭縣礁溪鄉礁溪路一段36號對面","S","118057","262－010",,"YilanCounty","ILA","ILA",,,
"ILA115481","115481","021","十六結","Shiliujie",24.80964,121.76701,"wsqt4ukn8","宜蘭縣礁溪鄉礁溪路三段188號對面","S","111015","262－024",,"YilanCounty","ILA","ILA",,,
"ILA115483","115483","021","番割田","Fangetian",24.80182,121.76482,"wsqt4g43j","宜蘭縣礁溪鄉割田路42之6號對面","S","32659","262－001",,"YilanCounty","ILA","ILA",,,
"ILA115484","115484","021","白鵝村","Baie Village",24.79907,121.76418,"wsqt4f9cp","宜蘭縣礁溪鄉礁溪路二段136號對面","S","31495","262－008",,"YilanCounty","ILA","ILA",,,
"ILA115485","115485","021","公埔","Gongpu",24.79353,121.76274,"wsqt4c8bv","宜蘭縣礁溪鄉礁溪路一段333號","S","118058","262－011",,"YilanCounty","ILA","ILA",,,
"ILA115486","115486","021","玉光村","Yuguang Village",24.79112,121.76205,"wsqt4c06t","宜蘭縣礁溪鄉礁溪路一段265號","S","31493","262－009",,"YilanCounty","ILA","ILA",,,
"ILA115488","115488","021","一結","Yijie",24.78267,121.76041,"wsqsfxx1x","宜蘭縣宜蘭市中山路五段176號對面","E","118059","260－005",,"YilanCounty","ILA","ILA",,,
"ILA115490","115490","021","台富","Taifu",24.7766,121.75861,"wsqsfwmyj","宜蘭縣宜蘭市中山路五段348號對面","S","19403","260－002",,"YilanCounty","ILA","ILA",,,
"ILA115491","115491","021","吳沙路","Wusha Rd.",24.77363,121.75774,"wsqsftvkb","宜蘭縣宜蘭市中山路五段352號對面","S","106721","260－026",,"YilanCounty","ILA","ILA",,,
"ILA115493","115493","021","河濱公園","Riverside Park",24.764084,121.754588,"wsqsfs4vp","宜蘭縣宜蘭市力行國小校牆旁對面","S","111439","260－049",,"YilanCounty","ILA","ILA",,,
"ILA115495","115495","021","北門","Beimen",24.759673,121.75302,"wsqsfe3gd","宜蘭縣宜蘭市中山路158號(另一長途下客牌，計3支)對面","S","31664","260－085",,"YilanCounty","ILA","ILA",,,
"ILA115497","115497","021","頭城站","Toucheng Station",24.85858,121.82603,"wsqtkjr58","宜蘭縣頭城鎮青雲路三段260號","E","30061","261－004",,"YilanCounty","ILA","ILA",,,
"ILA115711","115711","021","泰山路","Taishan Rd.",24.75461,121.7478,"wsqsf6qn1","宜蘭縣宜蘭市泰山路65號","W","111546","260－037",,"YilanCounty","ILA","ILA",,,
"ILA115712","115712","021","負廓里","Fuguo Village",24.75431,121.7442,"wsqsf67km","宜蘭縣宜蘭市泰山路105號","S","107210","260－018",,"YilanCounty","ILA","ILA",,,
"ILA115714","115714","021","七結","Qijie",24.74938,121.73407,"wsqsf1kp9","宜蘭縣宜蘭市泰山路479號","W","105739","260－017",,"YilanCounty","ILA","ILA",,,
"ILA115715","115715","021","員山機堡","Yuanshanjibao",24.74653,121.72857,"wsqsf0bnc","宜蘭縣員山鄉員山路1號","W","111452","264－049",,"YilanCounty","ILA","ILA",,,
"ILA115717","115717","021","員山鄉公所(員山公園)","Yuanshan Township Office",24.74313,121.72327,"wsqscbk5j","宜蘭縣員山鄉富民路1號前","W","111386","264－035",,"YilanCounty","ILA","ILA",,,
"ILA115718","115718","021","佛祖廟","Fozu Temple",24.74015,121.72141,"wsqs9zfcf","宜蘭縣員山鄉圳頭路4號","S","34530","264－001",,"YilanCounty","ILA","ILA",,,
"ILA115719","115719","021","尚德村","Shangde Village",24.73704,121.71861,"wsqs9z0z9","宜蘭縣員山鄉圳頭路29-14號","S","106808","264－021",,"YilanCounty","ILA","ILA",,,
"ILA115724","115724","021","成功路","Chenggong Rd.",24.71829,121.70171,"wsqs97u6r","宜蘭縣員山鄉員山路二段240巷口東側","W","106610","264－018",,"YilanCounty","ILA","ILA",,,
"ILA115725","115725","021","下深溝","Xiashengou",24.7162,121.69717,"wsqs973nm","宜蘭縣員山鄉員山路二段191號對面","S","111036","264－047",,"YilanCounty","ILA","ILA",,,
"ILA115726","115726","021","內城路","Neicheng Rd.",24.71517,121.69511,"wsqs95r8m","宜蘭縣員山鄉蓁巷路69-26號","S","111167","264－030",,"YilanCounty","ILA","ILA",,,
"ILA115727","115727","021","蚊煙路","Wenyan Rd.",24.71381,121.69233,"wsqs95j8k","宜蘭縣員山鄉蓁巷路85-2號","W","111566","264－046",,"YilanCounty","ILA","ILA",,,
"ILA115730","115730","021","上深溝","Shangshengou",24.7096,121.68554,"wsqs940xy","宜蘭縣員山鄉員山高幹258號","W","111055","264－027",,"YilanCounty","ILA","ILA",,,
"ILA115731","115731","021","河堤","Heti",24.70964,121.67594,"wsqs8f38n","宜蘭縣員山鄉員山高幹273號","W","111434","264－038",,"YilanCounty","ILA","ILA",,,
"ILA115732","115732","021","再連","Zailian",24.71236,121.67173,"wsqs8dwxu","宜蘭縣員山鄉員山高幹285號","N","111289","264－029",,"YilanCounty","ILA","ILA",,,
"ILA115733","115733","021","下湖口","Xiahukou",24.712792,121.667893,"wsqs8dgf7","宜蘭縣員山鄉員山高幹293號","W","105854","264－017",,"YilanCounty","ILA","ILA",,,
"ILA115734","115734","021","上再連","Shangzailian",24.7113,121.6655,"wsqs8dd1g","宜蘭縣員山鄉台7線112k+100公尺","S","111048","264－033",,"YilanCounty","ILA","ILA",,,
"ILA115735","115735","021","玉雲宮","Yuyun Temple",24.70881,121.66324,"wsqs8d07q","宜蘭縣員山鄉再連路36號","W","111271","264－053",,"YilanCounty","ILA","ILA",,,
"ILA115736","115736","021","下粗溪口","Xiacuxikou",24.70674,121.65918,"wsqs83tx0","宜蘭縣員山鄉粗坑路14號","N","105849","264－054",,"YilanCounty","ILA","ILA",,,
"ILA115737","115737","021","化育","Huayu",24.7112299989903,121.652839956532,"wsqs868ck","宜蘭縣員山鄉員山高幹265號","W","106189","264－016",,"YilanCounty","ILA","ILA",,,
"ILA115738","115738","021","福德廟1","Fude Temple (1)",24.70943,121.6496,"wsqs84nwc","宜蘭縣員山鄉員山路三段310號","W","111761","264－037",,"YilanCounty","ILA","ILA",,,
"ILA115739","115739","021","粗坑","Cukeng",24.707135,121.647501,"wsqs81v12","宜蘭縣員山鄉粗坑路49號","S","111618","264－055",,"YilanCounty","ILA","ILA",,,
"ILA115740","115740","021","粗坑路","Cukeng Rd.",24.70224,121.64852,"wsqs80vsz","宜蘭縣員山鄉粗坑路43號","S","111621","264－056",,"YilanCounty","ILA","ILA",,,
"ILA115741","115741","021","中華村","Zhonghua Village",24.69945,121.64305,"wsqs803u8","宜蘭縣員山鄉台7線108k+400公尺","W","111133","264－032",,"YilanCounty","ILA","ILA",,,
"ILA115742","115742","021","冷水坑","Lengshuikeng",24.69573,121.63625,"wsqkrzsz4","宜蘭縣員山鄉台7線107k","W","106714","264－015",,"YilanCounty","ILA","ILA",,,
"ILA115743","115743","021","宜蘭職訓場","Yilan Vocational Training Chang",24.69129,121.63232,"wsqkrycvn","宜蘭縣員山鄉台7線106k+900公尺","W","106682","264－014",,"YilanCounty","ILA","ILA",,,
"ILA115744","115744","021","頂粗坑","Dingcukeng",24.68688,121.62633,"wsqkrwje6","宜蘭縣大同鄉台7線106k+100公尺","W","111634","267－001",,"YilanCounty","ILA","ILA",,,
"ILA115745","115745","021","長嶺路","Changling Rd.",24.68413,121.62285,"wsqkrte53","宜蘭縣大同鄉長嶺路23-2號","W","111465","264－063",,"YilanCounty","ILA","ILA",,,
"ILA115746","115746","021","大同鄉公所","Datong Township Office",24.67638,121.60976,"wsqkrk1w2","宜蘭縣大同鄉朝陽11之3號","S","105895","267－025",,"YilanCounty","ILA","ILA",,,
"ILA115747","115747","021","檢查哨(九寮溪)","Jiuliao River",24.67096,121.60423,"wsqkr5jqz","宜蘭縣大同鄉林家1-10號","W","108131","267－024",,"YilanCounty","ILA","ILA",,,
"ILA115748","115748","021","玉蘭","Yulan",24.66519,121.59346,"wsqkqfjth","宜蘭縣大同鄉台7線101k+500公尺","W","111274","267－039",,"YilanCounty","ILA","ILA",,,
"ILA115749","115749","021","松羅","Songluo",24.65572,121.58068,"wsqkq8kmg","宜蘭縣大同鄉松羅東巷2號","W","106922","267－022",,"YilanCounty","ILA","ILA",,,
"ILA115750","115750","021","松羅","Songluo",24.65562,121.58076,"wsqkq8kmm","宜蘭縣大同鄉松羅東巷2號對面","N","106923","267－022",,"YilanCounty","ILA","ILA",,,
"ILA115751","115751","021","玉蘭","Yulan",24.66512,121.59351,"wsqkqfjsw","宜蘭縣大同鄉台7線101k+500公尺對面","N","111272","267－039",,"YilanCounty","ILA","ILA",,,
"ILA115752","115752","021","檢查哨(九寮溪)","Jiuliao River",24.671,121.6045,"wsqkr5jwy","宜蘭縣大同鄉林家1-10號對面","N","108132","267－024",,"YilanCounty","ILA","ILA",,,
"ILA115753","115753","021","大同鄉公所","Datong Township Office",24.67601,121.60987,"wsqkrk1s5","宜蘭縣大同鄉朝陽巷22號對面","N","105894","267－025",,"YilanCounty","ILA","ILA",,,
"ILA115754","115754","021","長嶺路","Changling Rd.",24.683875,121.622881,"wsqkrte1f","宜蘭縣大同鄉長嶺路23-2號對面","N","111466","264－063",,"YilanCounty","ILA","ILA",,,
"ILA115755","115755","021","頂粗坑","Dingcukeng",24.686774,121.626485,"wsqkrwjdy","宜蘭縣大同鄉台7線106k+100公尺對面","N","111635","267－001",,"YilanCounty","ILA","ILA",,,
"ILA115756","115756","021","宜蘭職訓場","Yilan Vocational Training Chang",24.691666,121.632844,"wsqkryfr6","宜蘭縣員山鄉台7線106k+900公尺對面","N","106683","264－014",,"YilanCounty","ILA","ILA",,,
"ILA115757","115757","021","冷水坑","Lengshuikeng",24.69562,121.63622,"wsqkrzsy3","宜蘭縣員山鄉台7線107k對面","N","106715","264－015",,"YilanCounty","ILA","ILA",,,
"ILA115758","115758","021","中華村","Zhonghua Village",24.69941,121.6433,"wsqs803uq","宜蘭縣員山鄉台7線108k+400公尺對面","E","111132","264－032",,"YilanCounty","ILA","ILA",,,
"ILA115759","115759","021","粗坑路","Cukeng Rd.",24.702519,121.648645,"wsqs80vyd","宜蘭縣員山鄉粗坑路43號對面","N","111620","264－056",,"YilanCounty","ILA","ILA",,,
"ILA115760","115760","021","粗坑","Cukeng",24.707042,121.64761,"wsqs81v0f","宜蘭縣員山鄉粗坑路49號對面","N","111619","264－055",,"YilanCounty","ILA","ILA",,,
"ILA115761","115761","021","福德廟1","Fude Temple (1)",24.70931,121.64964,"wsqs84nw4","宜蘭縣員山鄉員山路三段309號","N","111760","264－037",,"YilanCounty","ILA","ILA",,,
