RouteUID,RouteID,RouteNameZh_tw,RouteNameEn,OperatorID,OperatorNameZh_tw,OperatorNameEn,OperatorCode,OperatorNo,SubRouteUID,SubRouteID,SubRouteNameZh_tw,SubRouteNameEn,Direction,City,CityCode,StopUID,StopID,StopNameZh_tw,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,GeoHash,StationID,StationGroupID,LocationCityCode
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA307526","307526","外澳","Wai-ao",1,1,24.870935,121.839346,"wsqtkx8ew","141866","261－151","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA302579","302579","烏石港轉運站","Wush Harbor( Wush Harbor Bus Station)",0,2,24.868788,121.834961,"wsqtkrjx0","138017","261－152","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299277","299277","武營橋","Wuying Bridge",0,3,24.866082,121.829359,"wsqtkq9rm","135671","261－159","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299279","299279","頭城國小","Toucheng Elementary school",0,4,24.862591,121.828466,"wsqtkq0g1","135673","261－160","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297125","297125","頭城站","Toucheng Station",0,5,24.85794,121.82553,"wsqtkjnxu","133913","261－153","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297127","297127","青雲路","Qingyun Rd.",0,6,24.85548,121.82345,"wsqtkhv1s","133915","261－154","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA290870","290870","頭城家商","Toucheng Vocational Senior High School",0,7,24.84994,121.81567,"wsqt7gz3q","129882","261－080","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299023","299023","實踐農村","Shijian Rural Village",0,8,24.84738,121.81239,"wsqt7gm46","129883","261－079","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299025","299025","頂埔","Dingpu",0,9,24.84566,121.80809,"wsqt7g1bq","129884","261－078","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299027","299027","二城國小","Ercheng Elementary School",0,10,24.8442,121.80525,"wsqt7dxzu","129885","261－077","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299029","299029","中崙","Zhonglun",0,11,24.841843,121.80191,"wsqt7dm6n","132372","261－046","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297129","297129","二城","Ercheng",0,12,24.83872,121.79295,"wsqt73ybj","133917","261－136","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297131","297131","頭城交流道","Toucheng IC.",0,13,24.83762,121.78856,"wsqt73e9x","133919","261－155","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299031","299031","白雲路","Baiyun Rd.",0,14,24.837055,121.786853,"wsqt736qr","129887","262－072","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299052","299052","白石腳","Baishijiao",0,15,24.83572,121.78286,"wsqt71pwd","131146","262－019","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299033","299033","玉石村","Yushi Village",0,16,24.8338,121.78017,"wsqt70ve7","129888","262－071","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297133","297133","礁溪轉運站","Jiaoxi Bus Station",0,17,24.830982,121.777881,"wsqt707fy","133177","262－073","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297137","297137","礁溪湯圍溝","Jiaoxi Tangweigou",0,18,24.82877,121.773889,"wsqt5pcn1","133804","262－089","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297140","297140","礁溪電池廠","Jiaoxi Battery Factory",0,19,24.82462,121.77081,"wsqt4znvc","133924","262－098","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297142","297142","礁溪國小","Jiaoxi Elementary School",0,20,24.821,121.76945,"wsqt4ytbc","131004","262－013","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297144","297144","協天廟","Xietian Temple",0,21,24.818766,121.768666,"wsqt4yj5z","131260","262－096","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297146","297146","礁溪國中","Jiaoxi Junior High school",0,22,24.81678,121.76789,"wsqt4vu8j","131261","262－085","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297148","297148","十六結","Shiliujie",0,23,24.80964,121.76701,"wsqt4ukn8","131262","262－097","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297152","297152","三民村","Sanmin Village",0,24,24.80507,121.76549,"wsqt4gduj","133926","262－124","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297154","297154","番割田","Fangetian",0,25,24.80182,121.76482,"wsqt4g43j","133928","262－125","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297156","297156","白鵝村","Baie Village",0,26,24.79907,121.76418,"wsqt4f9cp","133930","262－126","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297158","297158","公埔","Gongpu",0,27,24.793252,121.76267,"wsqt4c2z5","133932","262－127","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297160","297160","玉光村","Yuguang Village",0,28,24.79112,121.76205,"wsqt4c06t","133934","262－128","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297162","297162","四城","Sicheng",0,29,24.787387,121.761526,"wsqt4b2hc","133936","262－129","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297164","297164","一結","Yijie",0,30,24.78267,121.76041,"wsqsfxx1x","133938","260－157","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297166","297166","茭白里","Jiaobai Village",0,31,24.77992,121.75957,"wsqsfxn97","133940","260－158","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297169","297169","台富","Taifu",0,32,24.7766,121.75861,"wsqsfwmyj","133942","260－159","ILA"
